# Created by Fynne's Python hashlib bench.py - https://github.com/SharkyRawr/python-hashlib-benchmark ,,
# This file has been created on a: x86_64,,
Hash,Duration in ns,bytes per second
blake2b,1629014337,659135895.6222619
blake2s,2248273593,477585035.6215966
md5,1605324834,668862650.8845251
sha1,1147113004,936038402.716948
sha224,2462963538,435955225.2535214
sha256,2478789479,433171849.8471164
sha384,1659065917,647196602.0142163
sha3_224,3085022249,348049944.97140175
sha3_256,3237696688,331637558.2616033
sha3_384,4199838555,255662642.72746554
sha3_512,6058999887,177214366.07117072
sha512,1671145452,642518473.0120068
shake_128,2625263659,409003423.45385736
shake_256,3236123780,331798749.67576176
