# Created by Fynne's Python hashlib bench.py - https://github.com/SharkyRawr/python-hashlib-benchmark ,,
# This file has been created on a: aarch64,,
Hash,Duration in ns,bytes per second
blake2b,5229396630,205328052.1580938
blake2s,8168152803,131454669.11510715
md5,4445408019,241539543.59436718
sha1,5582397877,192344194.673747
sha224,7521911851,142748525.27781904
sha256,7515361149,142872950.8418731
sha384,5206390869,206235346.33046776
sha3_224,7493717676,143285598.74077648
sha3_256,7888856174,136108682.9721685
sha3_384,10323222497,104012271.77967313
sha3_512,14781810155,72639400.23183176
sha512,5213260313,205963592.74875903
shake_128,6392975415,167956507.6193868
shake_256,7893186279,136034015.4212139
